url,organizer,description,summary
https://program.arendalsuka.no/event/user-view/20001,ArrangørNFP Norsk forbund for psykoterapi,"Løs problemet der det oppstår - for barnas, familiens, arbeidslivet og samfunnets beste","Om arrangementetHelseproblemene oppstår i barne - og ungdomsårene og på arbeidsplassen, i skolen, i oppvekstmiljøet. Problemene ender opp hos helsemininsteren som forsøker å slukke branner. Det hadde vært billigere for samfunnet og bedre for menneskene - om problemene ble løst der de oppstår. Det kreves mer kompetanse og midler til forebygging."
https://program.arendalsuka.no/event/user-view/20004,ArrangørFattignettverket Norge,Kan NAV bli bedre på fattigdomsbekjempelse?,"Om arrangementetFattignettverket Norge (FnN) ønskermed dette møtet å få sentrale politikere i posisjon og ledere i NAV til å fortelle NAV-brukere og andre fattige omhvordan de vil bidra til å styrke NAV sin rolle i bekjempelse av fattigdom.Lise Christoffersen fra Arbeiderpartietvil holde en liten innledning og delta i debatten.  Hun har lang erfaring med sosialpolitikk og sitter iStortingets finanskomite.Arbeids- og tjenestedirektør i NAV, Sonja Skinnarland, vil også innlede og delta i debatten sammen medVaraordfører i Trondheim, Mona Berger (SV) (FO)som har erfaring fra NAV-kommune og som sosialarbeider.  I tillegg deltar Norges eneste NAV-ombud,Jahn-Tore Fjeldstad, NAV-ombudet i Agder.Fattignettverket ser fram til å høre på dette (fantastiske) panelet og fortelle dem litt om våre krav til bedre tjenester og bedre fattidomsbekjempelse fra NAV  .Vi tror dette blir et veldig godt og konstruktivt møte med god respons fra topp politikere og NAV-ledere.  Det blir litt tid til spørsmål fra publikum, gjerne skriftelige, levert inn ved begynnelsen av møtet.FnNhar gjennomført møter med dette temaet flere steder i landet og nå vil vi oppsummere erfaringene og konkretisere forslagene til tiltak som kan gi NAV en bedre funksjon som regjeringens fattigdomsbekjemper i Norge.  Vi vil presentere våre konklusjoner og spille inn til Storting og regjering og til NAV i fylkene og alle de lokale NAV-kontorene.FnN ser er at både fattigfolk og politikere mener at NAV har en sentral rolle i bekjempelse av fattigdom i Norge.Bakgrunnenfor problemstillingen er at FnN har forstått at den norske regjeringen for over 10 år siden sluttet å utarbeide fattigdomsplaner og arrangere fattigdomskonferanser.Regjeringen overlot dette ansvaret til NAV, men NAV har ikke forstått eller utført sin rollesom den instansen som skal bekjempe fattigdom i Norge.  I tillegg har regjeringen bedt NAV prioritere de som egner seg for dagens arbeidsliv, og det fører til svekkede NAV-tjenester til de som er for syke til å tilfredsstille arbeidslivets krav.FnN har fåtttilskudd fra Arbeids- og sosialdirektoratetfor å gjennomføre møter med dette tema i ulike norske byer.  Første møtet var under Arendalsuka 2021 og vi ønsker at møteserien skal føre til større klarhet om hvordan bekjempelsen av fattigdom fungerer og hvordan dette kanbidra til større bevissthet, bedre tjenester og avskaffelse av fattigdommen i Norge.Målgruppener alle som er rammet av fattigdom og alle som er brukere av NAV-tjenester, samt alle NAV-ansatte, politikere, forskere og sosialarbeidere og andre som vil bidra til vårt prosjekt.  Vi vil invitere NAV-ledere og NAV-brukere som er engasjert i NAV sine brukerutvalg, politikere, representanter for fagforeningene i NAV, brukerorganisasjoner og vi vil bidra med egne ressurser.  Vi spør om hvordan de fattige, NAV-brukerne og brukerorganisasjonene kan bidra til bedre NAV-tjenester og til en mer effektiv fattigdomsbekjempelse?"
https://program.arendalsuka.no/event/user-view/20005,ArrangørFattignettverket Norge,Får fattige i Norge oppfylt sine menneskerettigheter?,"Om arrangementetPerspektiv på fattigdom og menneskerettigheter.Oppfyller norsk fattigdomsbekjempelse menneskerettighetenes krav til sosialpolitikk og livsopphold?Fattignettverket Norge (FnN) har i årevis stilt spørsmål om hva som er minstestandarden for velferdspolitkken og for livsoppholdsnormer i Norge?Hvor fattig går det an å være uten at Menneskerettighetene er brudt?  Og hva sier Grunnloven og NAV-loven om våre sosiale rettigheter?  Hva skal til før vi kan si at norske myndigheter har gjort sin (minste)plikt overfor de fattige og hvor går grensen for å kalle Norge en Velferdsstat?Er regjeringens anbefalte satser for økonomisk sosialhjelp et menneskerettighetsbrudd?FnN og hele den norske fattigdomsbevegelsen har i mange år hatt som sitt hovedkrav at det ikke skal være noen i Norge som har inntekter mindre enn det som framkommer av Statens Institutt for Forbruksforskning(SIFO) sitt  referansebudsjett for forbruksutgifter på minste anstendige nivå?Anbefalt sats for økonomisk sosialhjelp ligger på 60% av dette!Hvilke plikter har den norske staten i forhold til konvensjonen om Økonomiske, Sosiale og kulturelle rettigheter oghar vår sosialpolitikk tatt nok hensyn til ØSKog rettighetene fra andre konvensjoner som ILO-konvensjonen og den Europeiske menneskerettighetskonvensjonen med hensyn til livsopphold og rettigheter for fattige og arbeidsledige?HarNorsk Institusjon for Menneskerettigheter(NIM) og andre norske menneskerettighetsforkjempere vurdert minstestandarden for livsopphold og sosialpolitikk i Norge?Vi har inntrykk av at kompetansen på Økonomiske, Sosiale og Kulturelle menneskerettigheter er mangelfull.  Spørsmålet blir:Hvordan kan vi få med oss menneskerettighetsinstitusjonene i arbeidet med å avklare de sosiale rettighetene som de fattige kan slå i bordet med?FNs Bærekraftmål nr 1 i Norge: Utrydd Fattigdommen.Det innebærer å innføre nasjonalt tilpassede sosiale velferdsordninger og tiltak for alle, inkludert minstestandarder, og innen 2030 oppnå at fattige og sårbare har lik rett til økonomiske ressurser og tilgang til grunnleggende tjenester.Følger Norge opp dette bærekraftmålet?Relativ fattigdom finnes i Norge, andelen har på ti år gått opp fra 8 til 11%.Andelen barn som lever i fattigdom økerog det forplikter myndighetene til å forbedre sin politikk om vi skal nå FNs bærekraftmål.  Spørsmålet er om vi skal forbedre eller utrydde fattigdommen!Målgruppener alle som er rammet av fattigdom og alle som har noe å bidra med i fattigdomsbekjempelsen, NAV-ansatte, politikere, byråkrater, akademikere, forskere og sosialarbeidere og andre som vil bidra til vårt prosjekt.  Vi vil ha innledninger av fagpersoner, politikere, brukere m fl og vi vil bidra med egne ressurser.  Vi spør:Hvordan kan de fattige og deres brukerorganisasjoner bidra til klarere rettigheter og bedre utryddelse av all fattigdom?FnN har fåtttilskudd fra Arbeids- og sosialdirektoratetfor å arrangere ulike møter om fattigdomsbekjempelsen i Norge."
https://program.arendalsuka.no/event/user-view/20007,"ArrangørEyde-klyngen, Norsk industri, Prosess21",Europa trenger norske grønne råmaterialer. Klarer vi det ?,"Om arrangementetVerden spilttes opp, og Europa og Norge må stå sammen om det grønne skiftet og ""robusthet"" i kritiske verdikjeder. Europa har behov for metaller og råmaterialer til fornybar energi, fremtidens elektriske mobilitet, halvledere og innholdet i våre nødvendige digitale duppedingser. Disse områdene står i fokus når EU ønsker et strategisk industripartnerskap med Norge. Norske prosessindustri leverer materialene til disse strategisk viktige verdikjedene. Vi spør om norsk politikk er offensiv nok i forhold til dette skjebnefelleskapet vi står i."
https://program.arendalsuka.no/event/user-view/20009,ArrangørSøgne Dykkerklubb,Kampen mot spøkelsesfiske og marin forsøpling på havets bunn,Om arrangementetSøgne Dykkerklubb er ledende på rydding av spøkelsesredskap fra Havbunnen. Vi har fjernet flere enn 6000 redskap siden desember 2015. Vi ønsker å vise fram hvordan dette problemet påvirker det marine livet i havet. Foredraget vil vise bilder og film fra havbunnen.Vi vil også fortelle hvordan vi jobber og hvordan det samarbeides med andre organisasjoner og frivillige for å rydde mest mulig effektivt.
https://program.arendalsuka.no/event/user-view/20012,ArrangørSivilrettsforvaltningen,Varslede drap?  Og hva kan en nyopprettet partnerdrapskommisjon bidra med?,"Om arrangementetPartnerdrapsutvalget gjorde en kvalitativ gjennomgang av 19 partnerdrapssaker. Gjennomgangen viste forutgående partnervold i alle sakene. Mange av ofrene og gjerningspersonene hadde flere levekårsutfordringer. Etter utvalgets syn viste saksgjennomgangen at det finnes et potensial i hjelpeapparatet for å forebygge partnerdrap. Utvalget mente politi og andre instanser i hjelpeapparatet ikke iverksatte forebyggende tiltak tidsnok, som kunne redusert risikoen for alvorlig partnervold og partnerdrap.Hva vet vi om denne type saker og hvordan kan en ny, nasjonal partnerdrapskommisjon bidra til å forebygge partnerdrap?"
https://program.arendalsuka.no/event/user-view/20013,ArrangørNorsk Revmatikerforbund,Hva må til for å få flere i arbeid?,"Om arrangementetNæringslivet skriker etter arbeidskraft og kompetanse, men hvordan sysselsette og legge til rette for at mennesker med nedsatt funksjonsevne og kronisk syke skal få innpass i arbeidslivet. Samfunnet er tjent med å få flere ut i arbeid.De samfunnsøkonomiske gevinstene ved å få flere i arbeidHvordan få flest mulig i arbeid, selv med kronisk sykdomHvordan kan tilgang til riktig medisiner hjelpe kroniske syke inn i arbeidslivetPrioritering innenfor helsevesenet. Hvilke prioriteringer må gjøres for å få flere i arbeid, og hvilke gevinster vil dette giDet er avgjørende at det er tillit til kriteriene for prioritering i helsetjenesten og en NOU vil i større grad skape en bred og åpen debatt. Problemstillingene i prioriteringsdebatten krever et oppdatert helthetlig kunnskapsgrunnlag som kan gi legitimitet til kriteriene for prioritering.Andelen eldre i befolkningen øker, og endringer i sykdomsbildet med økning i kroniske og komplekse sykdommer vil sette større krav til kvalitet og tilgjengelighet i helsetjenestene. Det blir derfor vesentlig å sikre velferdssamfunnets økonomiske bærekraft gjennom langsiktige prioriteringer, og det understrekes Perspektivmeldingen at «Verdiskaping og jevn fordeling sikres gjennom at flest mulig er i arbeid. Både for den enkelte og for landet er det viktig at flest mulig er i arbeid.» Det er derfor et stort behov for å ta i bruk ny teknologi for å avlaste helsetjenesten og at flere kan stå lengre i arbeid. Det blir vesentlig fremover å verdsette løsninger med positiv innvirkning på arbeidsevne for å sikre bærekraften til et offentlig finansiert helsevesen."
https://program.arendalsuka.no/event/user-view/20014,ArrangørMemox,Erfaringsutveksling om oppfølging og veiledning av minoritetsfamilier i møte med barneverntjenesten,"Om arrangementetMemox er en ideell organisasjon med fokus på multietnisk familieveiledning. I lys av den nye barnevernloven, ønsker vi å ha en samtale der vi deler våre erfaringer knyttet til arbeidet med minoritetsfamilier i møte med barneverntjenesten."
https://program.arendalsuka.no/event/user-view/20015,ArrangørApeland AS,Lederliv live,"Om arrangementetLive podkast med ledere om offentlige etaters omdømme og tillit.Apeland og Alltinget legger frem resultatene fra Traction offentlig på Arendalsuka, og i denne episoden diskuterer vi hva det betyr for offentlige virksomheter å ha tillit og være likt av folk flest, og hvordan ledelsen bør arbeide for å skape et godt omdømme.Lederliv er en ukentlig podkast om ledelse med Ole Christian Apeland som programleder. Over 250 ledere har så langt gjestet podkasten."
https://program.arendalsuka.no/event/user-view/20016,"ArrangørFagpressen, Norsk Journalistlag, Norsk Redaktørforening, Landslaget for lokalaviser, Mediebedriftenes Landsforening, Norsk lokalradioforbund, Norsk Presseforbund",Blir kommuneansatte kneblet? Vi tar debatten om ytringsfrihet i arbeidslivet.,"Om arrangementetGår krav om lojalitet på bekostning av retten til å ytre seg?Debattleder: Gry Veiby, NRK"
