title,url,date,header,arrangor,medvirkende,om_arrangementet
Rammeverk for CCS i Norge,https://www.arendalsuka.no/programsok/details/23547,2024-08-12T11:00,RAMMEVERK FOR CCS I NORGE,Miljøstiftelsen Bellona,"Guro Fasting, Oslo Economics
Astrid Bergmål, Arbeiderpartiet
Anders Melhus, Altera Infrastructure
Jannicke Bjerkås, Hafslund Oslo Celsio
Liv Rathe, Norsk Hydro
Cathrine Ringstad, Bellona
Ove Trellevik, Høyre
Lars Haltbrekken, Sosialistisk Venstreparti
Ola Elvestuen, Venstre","Energidepartementet utreder virkemidler for å realisere karbonfangst- og lagring i norsk industri og avfallsforbrenning. Oslo Economics og SINTEF anbefaler en subsidieordning og at staten tar en rolle i å koordinere transport og lagring. 
Kommer politikk og virkemidler på plass innen 2025 slik at Norge klarer å kutte utslippene sine i tråd med Parisavtalen og regjeringens omstillingsmål om 55 prosent kutt innen 2030?"
Grønn gruvedrift - er det mulig?,https://www.arendalsuka.no/programsok/details/24076,2024-08-12T12:00,GRØNN GRUVEDRIFT - ER DET MULIG?,Miljøstiftelsen Bellona,"Tore Sandvik, Statssekretær, Regjeringen (AP)
Ingrid Liland, Nestleder, MDG
Gunnar Moe, CEO, Rana Gruber
Alf Reistad, CEO, Rare Earths Norway
Mona Schanche, COO, Kuniko
Stian Rossi, CCO, Cemonite","«Norge skal utvikle verdens mest bærekraftige mineralnæring» sa Jan Christian Vestre da han lanserte regjeringens mineralstrategi for ett år siden. Men er det egentlig mulig med grønn gruvedrift, og hvordan vil det i så fall se ut? Og hva gjør regjeringen nå for å følge opp ambisjonene?
Vi inviterer næringslivet til å legge frem løsninger, og politikere til debatt om fremtidens mineralnæring i Norge.
Næringslivsaktører:
Rana Gruber er basert i Mo i Rana, og er den produsenten av jernmalm i dag som har det laveste karbonavtrykket per tonn, med mål om å bli karbonfrie. De er også i ferd med å utvikle malmen til en unik høy kvalitet som er nødvendig for å kunne produsere utslippsfritt stål.
Rare Earths Norway planlegger å utvinne Europas største forekomst av sjeldne jordartsmetaller, som befinner seg i Telemark. Metallene er kritiske for teknologi som elbiler og havvind, og produseres i dag kun i Kina. Selskapet jobber blant annet med et konsept for ""usynlig gruvedrift"", som kan redusere behovene for naturinngrep.
Kuniko jobber for å utvinne litium, nikkel, kobolt og kobber i Norge og Sveriga - mineraler som er kritiske for elektrifisering og dermed for grønn omstilling. Selskapet har forpliktet seg til nullutslipp og jobber aktivt for å redusere miljøpåvirkningene fra gruvedrift.
Cemonite åpner i sommer opp sin pilotfabrikk i Sandnes, der de vil produsere et klimavennlig alternativ til sement som er basert på gruveavfall. Dette kan bli en viktig løsning både for å kutte utslipp fra byggebransjen og for å redusere behovet for deponering av gruveavfall."
1 år etter «Hans»: Hvordan kan vi hjelpe kommunene med å tilpasse seg en fremtid med mer ekstremvær?,https://www.arendalsuka.no/programsok/details/23284,2024-08-12T12:00,1 ÅR ETTER «HANS»: HVORDAN KAN VI HJELPE KOMMUNENE MED Å TILPASSE SEG EN FREMTID MED MER EKSTREMVÆR?,"NGI - Norges Geotekniske Institutt, NORCE","Turid Wullf Knutsen, Senior EU-rådgiver, Innlandet fylke
Mikkel Vindegg, Forsker II, CICERO
Tarjei Nødtvedt Malme, Direktør Klima og Miljø, Forskningsrådet
Helge Eide, direktør for Samfunn, velferd og demokrati, KS
Elisabeth Angell, Seniorforsker, NORCE
Erlend Moster Knudsen, Avdelingsleder Klimatilpasning og hydrodynamikk, NGI
Kristin Flornes, konserndirektør Energi og teknologi, NORCE
Lars Andresen, Administrerende direktør, NGI
Camilla Aadland, Kommunikasjonssjef, NORCE
Øydis Ulrikke Castberg, Kommunikasjonssjef, NGI","Ekstremværet «Hans» førte til store ødeleggelser i mange kommuner og synliggjorde hvor viktig det er at vi tilpasser oss et endret klima. Kommunene er i frontlinjen for å klimatilpasse samfunnet vårt. Det er en formidabel oppgave, som krever en helhetlig tilnærming. Samarbeid mellom forskningsinstituttene, næringslivet og kommuner er avgjørende for å utvikle de innovative løsningene et klimarobust samfunn trenger.
Hvilke utfordringer står kommunene i?
Hvilke endringer må til for å lykkes med klimatilpasning?
Hvilken rolle spiller kunnskap fra forskningsinstituttene i beredskapsarbeidet og hvordan kan vi styrke kommunene i møte med klimaendringene?
Velkommen og faglige innlegg
Velkommen og innledning ved Kristin Flornes, konserndirektør Energi og teknologi NORCE og Lars Andresen, administrerende direktør, NGI.
Tittel kommer, v/Turid Wulff Knutsen, EU rådgiver, Innlandet fylke
Kommunene trenger mer enn paragrafer v/Elisabeth Angell, seniorforsker NORCE
Hvordan kan forskning og innovasjon hjelpe kommunene i å bygge et mer klimarobust samfunn? v/Erlend Moster Knudsen, Avdelingsleder Klimatilpasning og hydrodynamikk, NGI
Fagpanel
Turid Wullf Knutsen, EU rådgiver, Innlandet fylke
Mikkel Vindegg, forsker II, CICERO
Tarjei Nødtvedt Malme, avdelingsdirektør for Klima og Miljø, Forskningsrådet
Helge Eide, direktør for Samfunn, velferd og demokrati, KS
Elisabeth Angell, seniorforsker, NORCE
Erlend Moster Knudsen, Avdelingsleder Klimatilpasning og hydrodynamikk, NGI
Politikerpanel
Elisabeth Sæther (AP)
Ola Elvestuen (V)
Suzanne Michelle Rødseth (MDG)
Arrangementet ledes av Camilla Aadland, kommunikasjonsjef, NORCE og Øydis Ulrikke Castberg, kommunikasjonssjef, NGI."
Et mer inkluderende arbeidsliv – lettere sagt enn gjort? Hvordan får vi med oss de som står utenfor?,https://www.arendalsuka.no/programsok/details/23003,2024-08-12T12:30,ET MER INKLUDERENDE ARBEIDSLIV – LETTERE SAGT ENN GJORT? HVORDAN FÅR VI MED OSS DE SOM STÅR UTENFOR?,Scandic Norge,"Elin Ekrol, HR-direktør, Scandic Norge
Tor Andreas Bremnes, Daglig leder, InClue
Henrik Hamborg, Politisk rådgiver for kompetanse og rekruttering, NHO Reiseliv
Sonja Skinnarland, Arbeids- og tjenestedirektør, NAV
Oona Egge Hølen, Marketing Manager, Sammen for livet","En del av bedriftenes samfunnsansvar er å bidra til et mer inkluderende arbeidsliv, men er det lettere sagt enn gjort? Hvilke utfordringer møter bedriftene på, hva synes vi er vanskelig og hva kan vi gjøre for å lykkes bedre og raskere på dette området?
Scandic har jobbet med inkludering i mange år og har gjort seg gode erfaringer. Sammen med et bredt panel ønsker vi å utfordre hva det vil si å drive inkluderende rekruttering, og inspirere flere til å ta med seg de som står utenfor eller har problemer med å komme seg inn i arbeidslivet.
Det er adgangskontroll på Arendal kultur- og rådhus, og det må beregnes noe ekstra tid for å komme inn. Merk at det er ikke tillatt å ta med flasker, paraplyer og liknende gjenstander inn i bygningen."
Hva kan folkehelsepolitikken lære av klimapolitikken?,https://www.arendalsuka.no/programsok/details/25324,2024-08-12T13:00,HVA KAN FOLKEHELSEPOLITIKKEN LÆRE AV KLIMAPOLITIKKEN?,Nasjonalforeningen for folkehelsen,"Tone P. Torgersen, Fagsjef, Nasjonalforeningen for folkehelsen
Knut Inge Klepp, Spesialrådgiver, FHI
Snorre Kverndokk, Seniorforsker, Frischsenteret
Cathrine Lofthus, Departementsråd, Helse- og omsorgsdepartementet
Ingvild Kilen Rørholt, Fagansvarlig transport, Zero","Hvordan kan vi få til et skifte for bedre folkehelse? 
For å stå bedre rustet i møte med en usikker verden og framtid (nasjonal sikkerhet, beredskap, kriser, pandemier, og en presset helsetjeneste) trenger vi en friskere befolkning. Kan vi på folkehelsefeltet lære noe fra miljø- og klimafeltet der det er de som er ansvarlig for skadene som må ta regningen? 
Nasjonalforeningen for folkehelsen er den aktøren som nettopp løfter denne debatten, der vi spør om hvorfor vi ikke bruker de samme virkemidlene i folkehelsepolitikken som i klimapolitikken. 

Program
Velkommen og introduksjon, Tone P. Torgersen, fagsjef i Nasjonalforeningen for folkehelsen 
Økonomiske virkemidler i folkehelsepolitikken, Cathrine Lofthus, departementsråd i Helse- og omsorgsdepartementet 
Utvikling av miljø- og klimapolitikken, Ingvild Kilen Rørholt, fagansvarlig transport, Zero 
Panelsamtale: Virkemiddelbruk i folkehelse og miljø/klima, Knut Inge Klepp, Spesialrådgiver ved Folkehelseinstituttet, og Snorre Kverndokk, seniorforsker ved Frischsenteret. Moderert av Tone P Torgersen. 
Avsluttende ord, Tone P. Torgersen, fagsjef i Nasjonalforeningen for folkehelsen"
Klimamålene: En uoppnåelig fantasi for norsk landbruk?,https://www.arendalsuka.no/programsok/details/25199,2024-08-12T13:00,KLIMAMÅLENE: EN UOPPNÅELIG FANTASI FOR NORSK LANDBRUK?,AgriFoodTech Norway,"Frank Larsen, Leder, Klosser Innovasjon
Lene Westgaard Halle, Politiker, Høyre
Rune Støstad, Politiker, Arbeiderpartiet
Camilla Rostad, Bonde, Norges Bondelag/Vang Gård
Eva Camerer, Direktør for strategisk stab, Innovasjon Norge","Hvorfor snakker vi om å nå klimamålene i Norsk landbruk når ingen ser ut til å tro på det? 
Dette skal vi debattere sammen med politikere, næringslivsledere og Norges Bondelag mandag 12.august.
Noen mener at regjeringen ikke gjør nok for å støtte bønder i å omstille seg til en mer bærekraftig landbrukspraksis. Det pekes på EU som med sin Green Deal er ambisiøse med klimamålene og legger mye ressurser i prosjekter som skal hjelpe med å nå disse målene. Hva med Norge? Vi har også ambisiøse klimamål i landbruket, men hva kan og må vi gjøre annerledes? Har vi tatt i bruk ny teknologi for å nå målene, eller trenger vi insentiver for å få gjort dette raskere?"
Et friluftsliv uten fotavtrykk - er det mulig?,https://www.arendalsuka.no/programsok/details/25164,2024-08-12T13:00,ET FRILUFTSLIV UTEN FOTAVTRYKK - ER DET MULIG?,DNT,"Dag Terje Klarp Solvang, Generalsekretær, DNT
Anne-Mari Planke, Avdelingsleder, natur og friluftsliv, DNT
Ingeborg Wessel Finstad, Seksjonsleder natur og bærekraft, DNT","Nordmenn bruker i snitt tre ganger så mye som en EU-borger på sport- og friluftsutstyr. Vi som elsker å tilbringe tid i naturen, må gjøre vårt for å minske utslipp knyttet til fritidsreiser og aktivitet. Men hvordan gjør man det? Gjennom tre korte foredrag på 20 minutter vil DNT gi ulike tips til hvordan hver av oss kan drive et mer bærekraftig friluftsliv. 
Sesjon 1: Små reiser, store opplevelser: Generalsekretær Dag Terje Klarp Solvang i DNT om hvordan du kan reise mindre og bruke mindre, men oppleve mer.  
Sesjon 2: Hvordan ferdes sporløst på tur? Anne-Mari Planke, avdelingsleder i DNT, gir deg en kjapp innføring.  
Sesjon 3: Hvordan bruke natur uten å forbruke den? Ingeborg Wessel Finstad, seksjonsleder for natur og bærekraft, om friluftsliv på naturens premisser."
Virkemidler som virker for grønn industri,https://www.arendalsuka.no/programsok/details/23910,2024-08-12T13:00,VIRKEMIDLER SOM VIRKER FOR GRØNN INDUSTRI,Miljøstiftelsen Bellona,"Bjørn Kolbjørnsen, CEO, Eramet Norway
Trude Sundset, CTO, Norsk Hydro
Arve Solheim, Markedssjef prosessindustri og karbonfangst, Enova
Per Niederbach, Eksportdirektør, Innovasjon Norge
Mani Hussaini, Stortingsrepresentant, Arbeiderpartiet","Vi skal bygge en fornybar verden. Hva skjer med industripolitikken globalt - og hva skjer i Norge?
USA har med sin virkemiddelpakke IRA tiltrukket seg brorparten av nye grønne industrietableringer i vesten. EU har forsøkt å svare med Net Zero Industry Act, og i bakgrunnen har Kina allerede drevet material-imperialisme i en årrekke. Hvordan skal Norge posisjonere seg i denne nye virkeligheten?"
Har havnasjonen Norge spilt fallitt?,https://www.arendalsuka.no/programsok/details/23881,2024-08-12T13:00,HAR HAVNASJONEN NORGE SPILT FALLITT?,"One Ocean, Bergen, Norway, Bergen Næringsråd","Even Tronstad Sagebakken, Statssekretær (Ap), for fiskeri- og havminister
Karoline Andeur, Generalsekretær, WWF - Verdens naturfond
Nils Gunnar Kvamstø, Direktør, Havforskningsinstituttet
Frank Bakke-Jensen, Direktør, Fiskeridirektoratet
Kikki Kleiven, Instituttleder, Bjerknessenteret
Reidar Digranes, Byråd for næring, kultur og idrett,, Bergen kommune
Øyvind FIksen, Professor og visedekan for hav,, Universitetet i Bergen
Terje Breivik, Direktør, Stiftelsen Akvariet i Bergen og Verdenshavssenteret O
Stian Davies, Varaordfører (Ap), Vestland fylkeskommune
Ingrid Neergard Fjeldstad, Politiker, Venstre
Vidar Aarhus, Prosjektleder, One Ocean Havbyen Bergen
Moderator: Espen Børhaug, Kommunikasjonsleder, Bergen Næringsråd","Norge er en av verdens fremste havnasjoner. Skal vi styrke denne posisjonen – eller overlate den til andre?
Havforskningsinstituttet er svært anerkjent internasjonalt. Fiskeridirektoratet er garantisten for en meget effektiv og bærekraftig forvaltning av våre havområder. En samlokalisering av disse vil styrke posisjonen til havnasjonen Norge. Sammen med Verdenshavsenteret O, er de pionerene som sikrer Norges fremtidige status som ledende havnasjon.
Nå er det brottsjø og motvind det handler om. Den norske staten er i ferd med å skusle bort en unik mulighet på Dokken i Bergen. I stedet for å gi forskerne og forvalterne arbeidsvilkårene de fortjener, skal det nå spinkes og spares. I stedet for et fantastisk havsenter, styres det nå mot et stusselig kontorbygg. Dette skjer samtidig som Norges status som marint foregangsland settes under press. Internasjonale forskere har tatt til orde for å fjerne Norge fra ledelsen av det internasjonale Havpanelet. Norges rykte som en nasjon som tar vare på havet er i ferd med å smuldre opp, melder NRK.
Hvordan skal Norge forsvare og styrke sin posisjon? Dette er temaet når One Ocean Havbyen Bergen inviterer til debatt og rådslag om bord på MS Sandnes mandag 12. august kl 1300!"
Hvordan kan kommunale og nasjonale myndigheter legge til rette for folks bærekraftige forbruksvalg?,https://www.arendalsuka.no/programsok/details/24963,2024-08-12T13:00,HVORDAN KAN KOMMUNALE OG NASJONALE MYNDIGHETER LEGGE TIL RETTE FOR FOLKS BÆREKRAFTIGE FORBRUKSVALG?,"Fafo, Samfunnsøkonomisk analyse","Hanne Jordell, seniorøkonom, SØA
Svein Erik Stave, forsker, Fafo
Trude Andersen, kommunedirektør, Drammen kommune
Linda Monsen Merkesdal, stortingsrepresentant, medlem av energi- og miljøkomiteen, Arbeiderpartiet
Heidi Sørensen, direktør, Klimaetaten, Oslo kommune
Une Bastholm, Stortingsrepresentant, MDG
Kathrine Sund-Henriksen, Generalsekretær, Forum for utvikling- og miljø
Kjetil Bjørklund, Fagleder klima, Kommunenes Sentralforbund (KS)
Andrew Kroglund, Skribent, samfunnsdebattant og forfatter, Generalsekretær i besteforeldrenes klimaaksjon, ordstyrer/debattleder","Redusert forbruk og overgang til en sirkulær økonomi er blant de viktigste politiske målene som må nås for å oppnå bærekraftig utvikling. Vi presenterer forskningsresultater om holdninger til sirkulært og redusert forbruk blant innbyggere i norske storbykommuner, og hva slags handlingsrom kommunene har når det gjelder å bidra til redusert forbruk. Videre vil representanter fra lokale og nasjonale myndigheter, forskning og sivilsamfunnsorganisasjoner diskutere hvordan stat og kommuner i samarbeid med frivillighet og næringsliv bedre kan legge til rette for at folk skal ta bærekraftige forbruksvalg.
Overforbruksdagen (Earth overshoot day) er den dagen i året jordas befolkning har brukt opp de ressursene som kan brukes i løpet av et helt år uten at naturens evne til å reprodusere ressursene i fremtiden overskrides. For verdens befolkning falt denne dagen i år den 25 juli. Det betyr at når vi møtes i Arendal har verdens befolkning overforbrukt årets tilgjengelige ressurser i 18 dager. I Norge kom overforbruksdagen allerede 12. april i år, som betyr at vi har overforbrukt i 122 dager når vi møtes i Arendal.
Redusert forbruk og overgang til en sirkulær økonomi er derfor blant de viktigste politiske målene som må nås for å kunne oppnå en bærekraftig utvikling, og står i dag høyt på dagsorden både i EU og nasjonalt. EU er i ferd med å innføre flere nye tiltak og reguleringer for å fremme sirkulært forbruk og for at forbrukere skal kunne ta grønne valg. Norske myndigheter har allerede lansert en handlingsplan for sirkulær økonomi, og har oppnevnt en ekspertgruppe som skal gjøre en helhetlig vurdering av virkemidler som fremmer sirkulær aktivitet. Samtidig arbeides det med en handlingsplan for bærekraftsmålene der omstilling av forbruk vil stå sentralt. På lokalt nivå prøver kommunale myndigheter å legge til rette for mer bærekraftig forbruk på ulike måter, blant annet gjennom utlånsordninger og ombrukstiltak, på egen hånd og i samarbeid med frivillighet og næringsliv.
Mange mener likevel omstillingen går for tregt. En studie Fafo og Samfunnsøkonomisk analyse har utført for norske storbykommuner, i samarbeid Verian, viser at ni av ti innbyggere er villige til å legge om forbruket sitt for å bidra til bekjempelse av klimaendringer og bevaring av natur. Samtidig viser studien at to av tre innbyggere mener det er vanskelig å gjøre slike endringer, blant annet fordi alternative forbrukstilbud er vanskelig tilgjengelige eller krever for mye omlegging av hverdagen. Studien peker også på at mange lokale aktører, inkl. kommunene selv, frivillige organisasjoner og næringslivsaktører, opplever at handlingsrommet for å fremme et mer bærekraftig forbruk på lokalt nivå begrenses av politikk, lovverk og reguleringer på høyere nivå.
Representanter fra lokale og nasjonale myndigheter, forskning og sivilsamfunnsorganisasjoner vil diskutere hvilke muligheter og begrensninger som finnes med hensyn til å legge bedre til rette for at folk skal ta bærekraftige forbruksvalg."
